Creative_Type	Director	Distributor	IMDB_Rating	IMDB_Votes	MPAA_Rating	Major_Genre	Production_Budget	Release_Date	Rotten_Tomatoes_Rating	Running_Time_min	Source	Title	US_DVD_Sales	US_Gross	Worldwide_Gross
""	""	""	4.9	2758	R	Drama	5500000	17-May-02	""	""	""	Harvard Man	""	56653	56653
""	""	Samuel Goldwyn Films	7.4	14297	R	Thriller/Suspense	7300000	30-Apr-10	""	""	""	Harry Brown	""	1818681	6294140
Contemporary Fiction	Fred Wolf	Sony Pictures	5.5	18964	PG-13	Comedy	25000000	22-Aug-08	39	98	Original Screenplay	The House Bunny	15442818	48237389	70237389
Contemporary Fiction	Rob Zombie	Lionsgate	6.9	36082	R	Horror	7000000	22-Jul-05	54	""	Original Screenplay	The Devil's Rejects	""	17044981	20940428
Contemporary Fiction	Rob Zombie	Lionsgate	5.5	3311	R	Horror	7000000	11-Apr-03	""	""	Original Screenplay	House of 1,000 Corpses	""	12634962	16829545
Contemporary Fiction	Uwe Boll	Artisan	6.5	5541	R	Horror	7000000	10-Oct-03	""	""	Based on Game	The House of the Dead	""	10199354	13767816
Historical Fiction	Joe Johnston	Walt Disney Pictures	6.6	23604	PG-13	Western	78000000	5-Mar-04	46	136	Original Screenplay	Hidalgo	""	67286731	107336658
Contemporary Fiction	""	20th Century Fox	5.6	30891	R	Thriller/Suspense	25000000	28-Jan-05	12	105	Original Screenplay	Hide and Seek	""	51100486	123100486
Fantasy	""	Weinstein Co.	6.7	20461	PG	Comedy	17500000	16-Dec-05	""	80	Traditional/Legend/Fairytale	Hoodwinked	31171440	51386611	110011106
Contemporary Fiction	""	Sony Pictures	""	""	""	Romantic Comedy	90000000	17-Dec-10	""	""	Original Screenplay	How Do You Know?	""	0	0
Contemporary Fiction	Chris Rock	Dreamworks SKG	5.1	8447	PG-13	Comedy	35200000	28-Mar-03	30	95	Original Screenplay	Head of State	""	37788228	38283765
Contemporary Fiction	""	Fine Line	7.6	14766	R	Musical	6000000	20-Jul-01	92	""	Based on Musical/Opera	Hedwig and the Angry Inch	""	3067312	3643900
Kids Fiction	""	Walt Disney Pictures	6.3	1605	G	Adventure	20000000	11-Feb-05	80	""	Based on Book/Short Story	Pooh's Heffalump Movie	""	18098433	52858433
Contemporary Fiction	Spike Lee	Walt Disney Pictures	6.8	14494	R	Drama	25000000	1-May-98	80	134	Original Screenplay	He Got Game	""	21567853	21567853
Contemporary Fiction	David Mamet	New Line	3.2	77	R	Action	35000000	9-Nov-01	66	109	Original Screenplay	Heist	""	23483357	28483168
Super Hero	Guillermo Del Toro	Universal	7.3	61902	PG-13	Action	82500000	11-Jul-08	""	""	Based on Comic/Graphic Novel	Hellboy 2: The Golden Army	43689202	75986503	160388063
Super Hero	Guillermo Del Toro	Sony Pictures	6.8	67763	PG-13	Action	60000000	2-Apr-04	81	122	Based on Comic/Graphic Novel	Hellboy	""	59623958	99823958
Contemporary Fiction	Garry Marshall	Walt Disney Pictures	5.7	10526	PG-13	Comedy	50000000	28-May-04	22	119	Original Screenplay	Raising Helen	""	37485528	43340302
Historical Fiction	""	Warner Independent	6.7	7180	R	Drama	6500000	23-Jul-04	48	""	Based on Book/Short Story	A Home at the End of the World	""	1029017	1033810
Historical Fiction	Yimou Zhang	Miramax	""	""	PG-13	Action	17000000	27-Aug-04	""	96	Original Screenplay	Jet Li's Hero	""	53652140	177352140
Contemporary Fiction	""	20th Century Fox	4.6	4929	PG-13	Drama	15000000	24-Mar-00	18	""	Original Screenplay	Here on Earth	""	10494147	10845127
Historical Fiction	Yimou Zhang	Sony Pictures Classics	""	""	PG-13	Action	12000000	3-Dec-04	""	""	Original Screenplay	House of Flying Daggers	""	11050094	92863945
Contemporary Fiction	Mark Waters	Universal	4.8	6574	PG-13	Romantic Comedy	14000000	2-Feb-01	9	""	Original Screenplay	Head Over Heels	""	10397365	10397365
Contemporary Fiction	Jan De Bont	Dreamworks SKG	4.6	31808	PG-13	Horror	80000000	23-Jul-99	17	114	Based on Book/Short Story	The Haunting	""	91188905	180188905
Contemporary Fiction	Carl Franklin	20th Century Fox	6.1	14428	PG-13	Thriller/Suspense	42000000	5-Apr-02	31	115	Based on Book/Short Story	High Crimes	""	41543207	63781100
Contemporary Fiction	Stephen Frears	Walt Disney Pictures	7.6	69740	R	Comedy	20000000	31-Mar-00	92	114	Based on Book/Short Story	High Fidelity	""	27277055	47881663
Fantasy	""	Miramax/Dimension	4.3	8421	R	Action	15000000	1-Sep-00	""	""	Original Screenplay	Highlander: Endgame	""	12801190	12801190
""	""	Walt Disney Pictures	6.1	2205	R	""	10000000	26-Oct-01	20	""	""	High Heels and Low Lifes	""	226792	226792
Contemporary Fiction	""	Walt Disney Pictures	3.7	18587	G	Musical	11000000	24-Oct-08	66	""	Based on TV	High School Musical 3: Senior Year	59373004	90556401	251056401
Contemporary Fiction	""	Fox Searchlight	6.7	10293	R	Comedy	3700000	21-Nov-06	63	""	Based on Play	The History Boys	""	2730296	13425589
Contemporary Fiction	David Cronenberg	New Line	7.6	79738	R	Drama	32000000	23-Sep-05	87	""	Based on Comic/Graphic Novel	A History of Violence	38659936	31493782	59993782
Contemporary Fiction	Andy Tennant	Sony Pictures	5.7	89	PG-13	Romantic Comedy	55000000	11-Feb-05	69	113	Original Screenplay	Hitch	""	177784257	366784257
Contemporary Fiction	""	20th Century Fox	6.8	520	R	Action	17500000	21-Nov-07	14	93	Original Screenplay	Hitman	28077100	39687694	99965792
Contemporary Fiction	""	Warner Bros.	6.7	42358	R	Comedy	12000000	25-Apr-08	54	""	Original Screenplay	Harold & Kumar Escape from Guantanamo Bay	24609630	38108728	43231984
Contemporary Fiction	""	New Line	7.2	56030	R	Comedy	9000000	30-Jul-04	74	""	Original Screenplay	Harold & Kumar Go to White Castle	""	18225165	18225165
Contemporary Fiction	""	Trimark	4.7	1840	PG-13	Comedy	8000000	12-May-00	17	""	Original Screenplay	Held Up	""	4714090	4714090
Fantasy	""	20th Century Fox	5.0	17948	R	Horror	15000000	23-Mar-07	""	88	Remake	The Hills Have Eyes II	30512461	20804166	37466538
Contemporary Fiction	Alexandre Aja	Fox Searchlight	6.5	43747	R	Horror	17000000	10-Mar-06	49	""	Remake	The Hills Have Eyes	20576805	41778863	69623713
Contemporary Fiction	""	MGM	6.7	25756	R	Comedy	28000000	3-Oct-08	36	109	Based on Book/Short Story	How to Lose Friends & Alienate People	""	2775593	12031443
Contemporary Fiction	""	Sony Pictures	4.1	6909	PG-13	Action	25000000	15-Nov-02	2	""	Original Screenplay	Half Past Dead	""	15567860	19233280
Contemporary Fiction	Steve Miner	Miramax	""	""	R	Horror	17000000	5-Aug-98	""	85	""	Halloween: H2O	""	55041738	55041738
Contemporary Fiction	Rick Rosenthal	Miramax/Dimension	3.9	13181	R	Horror	15000000	12-Jul-02	""	89	""	Halloween: Resurrection	""	30259652	37659652
Contemporary Fiction	Stephen Herek	Walt Disney Pictures	4.7	9105	PG	Comedy	60000000	9-Oct-98	12	""	Original Screenplay	Holy Man	""	12069719	12069719
Dramatization	Gus Van Sant	Focus Features	3.6	479	R	Drama	20000000	26-Nov-08	94	""	Based on Real Life Events	Milk	11075466	31841299	50164027
Contemporary Fiction	Andrew Fleming	Focus Features	6.4	9017	R	Comedy	9000000	22-Aug-08	64	""	Original Screenplay	Hamlet 2	""	4886216	4898285
Factual	""	Walt Disney Pictures	""	""	G	Concert/Performance	6500000	1-Feb-08	71	""	Based on Real Life Events	Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour	18154740	65281781	71281781
Kids Fiction	""	Walt Disney Pictures	5.4	4772	PG	Comedy	110000000	2-Apr-04	54	94	Original Screenplay	Home on the Range	""	50026353	76482461
Historical Fiction	Peter Webber	Weinstein Co.	6.0	28690	R	Thriller/Suspense	50000000	9-Feb-07	15	121	Based on Book/Short Story	Hannibal Rising	23365803	27669725	80583311
Contemporary Fiction	Todd Phillips	Warner Bros.	7.9	127634	R	Comedy	35000000	5-Jun-09	78	99	Original Screenplay	The Hangover	165916727	277322503	465132119
Contemporary Fiction	""	Sony Pictures	4.3	6098	PG-13	Comedy	40000000	18-Feb-00	12	95	Original Screenplay	Hanging Up	""	36037909	51867723
Dramatization	Lasse Hallstrom	Walt Disney Pictures	6.9	9171	R	Drama	25000000	6-Apr-07	85	""	Based on Real Life Events	The Hoax	""	7164995	7164995
Contemporary Fiction	Andrew Davis	Walt Disney Pictures	7.1	19388	PG	Drama	20000000	18-Apr-03	77	117	Based on Book/Short Story	Holes	""	67383924	72383924
Contemporary Fiction	Nancy Meyers	Sony Pictures	6.9	48215	PG-13	Romantic Comedy	85000000	8-Dec-06	47	131	Original Screenplay	The Holiday	71449071	63280000	205190324
Science Fiction	Paul Verhoeven	Sony Pictures	5.5	41499	R	Horror	90000000	4-Aug-00	28	112	Original Screenplay	Hollow Man	""	73209340	191200000
""	""	Fine Line	""	""	R	Drama	1400000	29-Apr-05	""	""	Original Screenplay	Holy Girl	""	304124	1261792
Contemporary Fiction	""	Warner Bros.	4.7	4806	PG-13	Black Comedy	15000000	25-Nov-98	31	""	Original Screenplay	Home Fries	""	10513979	10513979
Contemporary Fiction	Bille Woodruff	Universal	4.6	13026	PG-13	Drama	18000000	5-Dec-03	20	94	Original Screenplay	Honey	""	30272254	62192232
Contemporary Fiction	John Schultz	Paramount Pictures	2.6	5012	PG-13	Comedy	27000000	10-Jun-05	14	""	Based on TV	The Honeymooners	""	12834849	13174426
Contemporary Fiction	""	New Line	5.3	2830	PG	Comedy	15000000	5-May-06	26	""	Based on Book/Short Story	Hoot	11095119	8117637	8224998
Contemporary Fiction	Forest Whitaker	20th Century Fox	5.3	9168	PG-13	Drama	30000000	29-May-98	23	114	Original Screenplay	Hope Floats	""	60110313	81529000
Fantasy	""	20th Century Fox	7.2	31323	G	Adventure	85000000	14-Mar-08	""	""	Based on Book/Short Story	Horton Hears a Who	73524948	154529439	297133947
Contemporary Fiction	Eli Roth	Lionsgate	5.4	31511	R	Horror	7500000	8-Jun-07	45	""	Original Screenplay	Hostel: Part II	16230816	17544812	33606409
Contemporary Fiction	""	Miramax	7.3	3070	R	Action	75000000	11-Mar-05	""	""	Based on Book/Short Story	Hostage	""	34636443	77636443
Contemporary Fiction	Eli Roth	Lionsgate	5.7	64642	R	Horror	4800000	6-Jan-06	""	""	Original Screenplay	Hostel	23835218	47326473	80578934
Contemporary Fiction	""	Paramount Pictures	6.5	22250	PG-13	Comedy	25000000	3-Aug-07	40	83	Original Screenplay	Hot Rod	24152720	13938332	14334401
Historical Fiction	Stephen Daldry	Paramount Pictures	7.6	44618	PG-13	Drama	25000000	27-Dec-02	80	115	Based on Book/Short Story	The Hours	""	41675994	108775994
Contemporary Fiction	""	New Line	7.5	19308	R	Drama	18000000	26-Oct-01	46	""	Original Screenplay	Life as a House	""	15652637	23889158
Contemporary Fiction	Adam Shankman	Walt Disney Pictures	5.4	16242	PG-13	Comedy	20000000	7-Mar-03	34	105	Original Screenplay	Bringing Down the House	""	132675402	164675402
Contemporary Fiction	""	Warner Bros.	5.4	32159	R	Horror	35000000	6-May-05	25	""	Remake	House of Wax	""	32064800	70064800
Contemporary Fiction	""	New Line	5.4	5292	PG-13	Drama	16000000	18-Jul-03	29	""	Based on Book/Short Story	How to Deal	""	14108518	14108518
Contemporary Fiction	""	Universal	5.5	14470	R	Comedy	12000000	21-Dec-01	27	93	Original Screenplay	How High	""	31155435	31260435
Contemporary Fiction	""	Gramercy	""	""	R	Comedy	12000000	6-Aug-97	""	93	Original Screenplay	Def Jam's How To Be a Player	""	14010363	14010363
Fantasy	Chris Columbus	Warner Bros.	7.2	120063	PG	Adventure	100000000	15-Nov-02	82	161	Based on Book/Short Story	Harry Potter and the Chamber of Secrets	""	261987880	878987880
Fantasy	Alfonso Cuaron	Warner Bros.	7.7	108928	PG	Adventure	130000000	4-Jun-04	90	141	Based on Book/Short Story	Harry Potter and the Prisoner of Azkaban	""	249538952	795538952
Fantasy	Mike Newell	Warner Bros.	7.6	111946	PG-13	Adventure	150000000	18-Nov-05	88	157	Based on Book/Short Story	Harry Potter and the Goblet of Fire	215701005	290013036	896013036
Fantasy	David Yates	Warner Bros.	7.4	104074	PG-13	Adventure	150000000	11-Jul-07	78	138	Based on Book/Short Story	Harry Potter and the Order of the Phoenix	220867077	292004738	938468864
Fantasy	David Yates	Warner Bros.	7.3	73720	PG	Adventure	250000000	15-Jul-09	83	153	Based on Book/Short Story	Harry Potter and the Half-Blood Prince	103574938	301959197	937499905
Fantasy	Chris Columbus	Warner Bros.	7.2	132238	PG	Adventure	125000000	16-Nov-01	""	152	Based on Book/Short Story	Harry Potter and the Sorcerer's Stone	""	317557891	976457891
Kids Fiction	George Miller	Warner Bros.	6.7	42369	PG	Adventure	85000000	17-Nov-06	74	108	Original Screenplay	Happy Feet	203263968	198000317	385000317
Historical Fiction	""	Walt Disney Pictures	6.8	21902	G	Adventure	70000000	15-Jun-97	84	92	Based on Book/Short Story	Hercules	""	99112101	250700000
Contemporary Fiction	Brian Robbins	Paramount Pictures	4.1	165	PG-13	Drama	21000000	14-Sep-01	38	106	Based on Book/Short Story	Hardball	""	40222729	44102389
Contemporary Fiction	""	Paramount Pictures	5.6	14375	R	Action	70000000	16-Jan-98	26	96	Original Screenplay	Hard Rain	""	19870567	19870567
Contemporary Fiction	Robert Redford	Walt Disney Pictures	6.3	15831	PG-13	Drama	60000000	15-May-98	71	168	Based on Book/Short Story	The Horse Whisperer	""	75383563	75383563
""	""	""	6.3	1342	R	""	7000000	13-Jun-03	""	""	""	The Heart of Me	""	196067	196067
Historical Fiction	""	Sony Pictures Classics	7.5	1519	R	Drama	3750000	11-Aug-06	""	""	Original Screenplay	Casa de Areia	""	539285	1178175
Contemporary Fiction	""	Summit Entertainment	5.1	7097	R	Horror	12500000	11-Sep-09	22	""	Remake	Sorority Row	1350584	11965282	26735797
Historical Fiction	""	MGM	6.2	19541	R	Drama	70000000	15-Feb-02	58	""	Based on Book/Short Story	Hart's War	""	19076815	33076815
Science Fiction	""	Walt Disney Pictures	6.6	61513	PG	Comedy	45000000	29-Apr-05	60	103	Based on Book/Short Story	The Hitchhiker's Guide to the Galaxy	""	51019112	104019112
Contemporary Fiction	""	Lionsgate	5.4	165	R	Horror	2850000	10-Jun-05	""	""	Original Screenplay	High Tension	""	3681066	5208449
Contemporary Fiction	Edgar Wright	Focus Features	8.0	129779	R	Comedy	16000000	20-Apr-07	91	121	Original Screenplay	Hot Fuzz	33391776	23618786	79197493
""	""	Miramax	6.6	9455	R	""	3300000	5-May-00	""	""	""	Human Traffic	""	104257	5422740
Fantasy	""	Paramount Pictures	8.2	28556	PG	Comedy	165000000	26-Mar-10	98	""	Based on Book/Short Story	How to Train Your Dragon	""	217581231	491581231
Contemporary Fiction	""	Fox Searchlight	6.8	35878	R	Comedy	22000000	1-Oct-04	62	""	Original Screenplay	I Heart Huckabees	""	12784713	14584713
Super Hero	Ang Lee	Universal	5.7	70844	PG-13	Action	137000000	20-Jun-03	62	138	Based on Comic/Graphic Novel	Hulk	""	132177234	245360480
Super Hero	Louis Leterrier	Universal	7.1	82419	PG-13	Adventure	137500000	13-Jun-08	66	112	Based on Comic/Graphic Novel	The Incredible Hulk	58503066	134806913	263349257
Historical Fiction	Gary Trousdale	Walt Disney Pictures	6.5	19479	G	Adventure	100000000	21-Jun-96	73	86	Based on Book/Short Story	The Hunchback of Notre Dame	""	100138851	325500000
Contemporary Fiction	William Friedkin	Paramount Pictures	5.8	18941	R	Action	55000000	14-Mar-03	31	94	Original Screenplay	The Hunted	""	34234008	45016494
""	""	MGM	""	""	""	Drama	500000	13-Feb-98	""	""	""	Hurricane Streets	""	334041	367582
Contemporary Fiction	Kathryn Bigelow	Summit Entertainment	7.8	83679	R	Drama	15000000	26-Jun-09	""	""	Original Screenplay	The Hurt Locker	31304710	14700000	44468574
Contemporary Fiction	""	Paramount Vantage	7.5	18688	R	Drama	2800000	22-Jul-05	""	""	Original Screenplay	Hustle & Flow	""	22202809	23563727
Historical Fiction	Todd Phillips	Warner Bros.	6.2	48935	PG-13	Comedy	60000000	5-Mar-04	64	101	Based on TV	Starsky & Hutch	""	88200225	170200225
Contemporary Fiction	Woody Allen	Dreamworks SKG	6.3	10486	PG-13	Romantic Comedy	16000000	3-May-02	46	""	Original Screenplay	Hollywood Ending	""	4839383	14839383
Contemporary Fiction	Ron Shelton	Sony/Columbia	5.2	16452	PG-13	Action	75000000	13-Jun-03	30	116	Original Screenplay	Hollywood Homicide	""	30207785	51107785
Contemporary Fiction	""	Sony Pictures	5.2	4192	PG-13	Romantic Comedy	15000000	24-Mar-00	16	""	Based on Book/Short Story	Whatever it Takes	""	8735529	8735529
Fantasy	Carlos Saldanha	20th Century Fox	6.9	50981	PG	Adventure	75000000	31-Mar-06	""	""	Original Screenplay	Ice Age: The Meltdown	131919814	195330621	651899282
Fantasy	Carlos Saldanha	20th Century Fox	7.1	33289	PG	Adventure	90000000	1-Jul-09	""	93	Original Screenplay	Ice Age: Dawn of the Dinosaurs	87544387	196573705	886685941
Kids Fiction	Chris Wedge	20th Century Fox	7.4	75552	PG	Adventure	65000000	15-Mar-02	77	81	Original Screenplay	Ice Age	""	176387405	383257136
Contemporary Fiction	""	Walt Disney Pictures	6.0	7106	G	Comedy	25000000	18-Mar-05	52	""	Original Screenplay	Ice Princess	""	24381334	25732334
Historical Fiction	Ang Lee	Fox Searchlight	7.5	27544	R	Drama	18000000	27-Sep-97	82	""	Based on Book/Short Story	The Ice Storm	""	8038061	16011975
""	""	""	5.2	618	""	""	18000000	""	""	""	""	I Come with the Rain	""	0	627422
Contemporary Fiction	James Mangold	Sony Pictures	7.3	57909	R	Thriller/Suspense	28000000	25-Apr-03	62	90	Original Screenplay	Identity	""	52131264	90231264
Historical Fiction	""	Miramax	6.7	8078	PG-13	Comedy	10700000	18-Jun-99	86	97	Based on Play	An Ideal Husband	""	18542974	18542974
Historical Fiction	""	Universal	5.8	3056	R	Musical	15000000	25-Aug-06	47	121	Original Screenplay	Idlewild	3120029	12669914	12669914
Contemporary Fiction	""	MGM	7.0	19050	R	Comedy	9000000	13-Sep-02	76	""	Original Screenplay	Igby Goes Down	""	4777465	4777465
Kids Fiction	""	MGM	6.0	6614	PG	Comedy	30000000	19-Sep-08	35	86	Original Screenplay	Igor	12361783	19528188	26608350
Contemporary Fiction	""	Miramax	3.3	985	R	Comedy	3500000	27-May-98	17	""	Original Screenplay	I Got the Hook-Up!	""	10317779	10317779
Contemporary Fiction	""	Sony Pictures	5.8	16157	R	Horror	15000000	30-Apr-99	15	""	Original Screenplay	Idle Hands	""	4023741	4023741
""	""	Sony Pictures Classics	7.2	6057	R	Drama	10000000	17-Dec-04	35	""	Original Screenplay	Imaginary Heroes	""	228524	290875
Contemporary Fiction	""	Sony Pictures	4.1	23268	R	Horror	24000000	13-Nov-98	8	101	Based on Book/Short Story	I Still Know What You Did Last Summer	""	40020622	40020622
Contemporary Fiction	""	Sony Pictures	5.4	36807	R	Horror	17000000	17-Oct-97	36	101	Based on Book/Short Story	I Know What You Did Last Summer	""	72250091	125250091
Contemporary Fiction	Chris Columbus	20th Century Fox	5.9	179	PG-13	Comedy	18000000	10-Jul-09	""	""	Based on Book/Short Story	I Love You, Beth Cooper	5475072	14800725	16382538
Historical Fiction	""	Yari Film Group Releasing	7.7	92040	PG-13	Drama	16500000	18-Aug-06	74	110	Based on Book/Short Story	The Illusionist	38200717	39868642	84276175
Contemporary Fiction	""	Lionsgate	6.1	10073	R	Comedy	1200000	7-Jul-00	""	""	Original Screenplay	But I'm a Cheerleader	""	2205627	2595216
Fantasy	Terry Gilliam	Sony Pictures Classics	7.1	33374	PG-13	Adventure	30000000	25-Dec-09	64	122	Original Screenplay	The Imaginarium of Doctor Parnassus	5387124	7689458	58692979
Contemporary Fiction	""	Fox Searchlight	6.7	9534	R	Romantic Comedy	7900000	27-Jan-06	""	""	Original Screenplay	Imagine Me & You	""	672243	972243
Contemporary Fiction	Karey Kirkpatrick	Paramount Pictures	5.4	3092	PG	Comedy	55000000	12-Jun-09	38	107	Original Screenplay	Imagine That	""	16123323	16123323
Science Fiction	""	Miramax	6.0	9020	PG-13	Thriller/Suspense	40000000	4-Jan-02	""	""	Based on Book/Short Story	Impostor	""	6114237	6114237
Science Fiction	Christopher Nolan	Warner Bros.	9.1	188247	PG-13	Thriller/Suspense	160000000	16-Jul-10	87	147	Original Screenplay	Inception	""	285630280	753830280
Contemporary Fiction	Jane Campion	Sony Pictures	5.2	11590	R	Thriller/Suspense	12000000	22-Oct-03	34	""	Based on Book/Short Story	In the Cut	""	4717455	23693646
Contemporary Fiction	""	Gramercy	5.5	2529	R	Drama	7000000	25-Aug-99	36	""	Original Screenplay	In Too Deep	""	14026509	14026509
Historical Fiction	""	Weinstein Co.	7.2	5775	Not Rated	Drama	18900000	15-Dec-06	""	""	Original Screenplay	IndigËnes	""	320700	6877936
Historical Fiction	Steven Spielberg	Paramount Pictures	6.6	135071	PG-13	Adventure	185000000	22-May-08	77	""	Original Screenplay	Indiana Jones and the Kingdom of the Crystal Skull	109654917	317023851	786558145
Contemporary Fiction	Neil Jordan	Dreamworks SKG	5.3	7138	R	Horror	30000000	15-Jan-99	22	""	Based on Book/Short Story	In Dreams	""	12017369	12017369
Dramatization	""	Warner Independent	7.1	6917	R	Drama	13000000	13-Oct-06	72	118	Based on Book/Short Story	Infamous	""	1151330	2613717
Contemporary Fiction	Steven Soderbergh	Warner Bros.	6.2	380	R	Thriller/Suspense	22000000	18-Sep-09	""	108	Based on Factual Book/Article	The Informant	6212437	33316821	41771168
Historical Fiction	""	Senator Entertainment	5.2	7595	R	Thriller/Suspense	18000000	24-Apr-09	""	""	Based on Book/Short Story	The Informers	""	315000	315000
Fantasy	Iain Softley	Warner Bros.	6.1	14157	PG	Adventure	60000000	23-Jan-09	40	105	Based on Book/Short Story	Inkheart	8342886	17303424	58051454
Contemporary Fiction	Frank Oz	Paramount Pictures	6.1	18773	PG-13	Comedy	35000000	19-Sep-97	71	92	Original Screenplay	In & Out	""	63826569	83226569
Contemporary Fiction	Dennis Dugan	Universal	6.1	46347	PG-13	Comedy	85000000	20-Jul-07	14	115	Original Screenplay	I Now Pronounce You Chuck and Larry	69334335	119725280	185708462
Contemporary Fiction	Spike Lee	Universal	7.7	86229	R	Thriller/Suspense	50000000	24-Mar-06	86	""	Original Screenplay	Inside Man	37712869	88634237	184634237
Dramatization	Michael Mann	Walt Disney Pictures	8.0	68747	R	Drama	68000000	5-Nov-99	96	157	Based on Book/Short Story	The Insider	""	28965197	60265197
Contemporary Fiction	Christopher Nolan	Warner Bros.	6.3	33	R	Thriller/Suspense	46000000	24-May-02	92	118	Remake	Insomnia	""	67263182	113622499
Kids Fiction	""	Walt Disney Pictures	3.9	13881	PG	Comedy	75000000	23-Jul-99	21	77	Based on TV	Inspector Gadget	""	97387965	97387965
Contemporary Fiction	Jon Turteltaub	Walt Disney Pictures	6.2	15388	R	Drama	55000000	4-Jun-99	27	123	Original Screenplay	Instinct	""	34105207	34105207
Fantasy	Ricky Gervais	Warner Bros.	6.5	24578	PG-13	Comedy	18500000	2-Oct-09	57	""	Original Screenplay	The Invention of Lying	4548709	18451251	32679264
Science Fiction	""	Warner Bros.	6.0	28605	PG-13	Thriller/Suspense	80000000	17-Aug-07	19	99	Remake	The Invasion	4845943	15074191	40147042
Contemporary Fiction	""	Magnolia Pictures	6.3	855	R	Comedy	3500000	14-Sep-07	""	""	Original Screenplay	Ira and Abby	""	221096	221096
Science Fiction	Alex Proyas	20th Century Fox	""	""	PG-13	Action	105000000	16-Jul-04	58	115	Based on Book/Short Story	I, Robot	""	144801023	348601023
Super Hero	Jon Favreau	Paramount Pictures	7.3	61256	PG-13	Adventure	170000000	7-May-10	74	""	Based on Comic/Graphic Novel	Iron Man 2	""	312128345	622128345
Super Hero	Jon Favreau	Paramount Pictures	7.9	174040	PG-13	Action	186000000	2-May-08	94	126	Based on Comic/Graphic Novel	Iron Man	169251757	318604126	582604126
Kids Fiction	Brad Bird	Warner Bros.	7.9	38791	PG	Adventure	50000000	4-Aug-99	97	86	Based on Book/Short Story	The Iron Giant	""	23159305	31333917
Historical Fiction	""	Sony Pictures Classics	7.4	3048	R	Black Comedy	4900000	29-Aug-08	""	""	Based on Book/Short Story	Obsluhoval jsem anglickÈho kr·le	""	617228	7174984
Science Fiction	Michael Bay	Dreamworks SKG	6.9	82601	PG-13	Action	120000000	22-Jul-05	40	""	Original Screenplay	The Island	""	35818913	163018913
Contemporary Fiction	Andrew Bergman	Universal	4.9	1426	R	Comedy	36000000	28-Jan-00	25	""	Based on Magazine Article	Isn't She Great	""	2954405	2954405
Contemporary Fiction	Betty Thomas	Sony Pictures	5.3	18061	PG-13	Action	70000000	1-Nov-02	15	97	Based on TV	I Spy	""	33561137	33561137
Contemporary Fiction	F. Gary Gray	Paramount Pictures	6.9	76835	PG-13	Adventure	60000000	30-May-03	73	111	Remake	The Italian Job	""	106126012	175826012
Contemporary Fiction	Chris Rock	Fox Searchlight	5.5	8643	R	Romantic Comedy	14000000	16-Mar-07	19	94	Remake	I Think I Love My Wife	13566229	12559771	13205411
Fantasy	""	Warner Bros.	4.6	6932	PG	Comedy	50000000	11-Dec-98	15	95	Original Screenplay	Jack Frost	""	34645374	34645374
Contemporary Fiction	Quentin Tarantino	Miramax	7.6	84068	R	Drama	12000000	25-Dec-97	85	154	Based on Book/Short Story	Jackie Brown	""	39673162	72673162
Contemporary Fiction	Michael Caton-Jones	Universal	6.0	35540	R	Thriller/Suspense	60000000	14-Nov-97	12	124	Remake	The Jackal	""	54956941	159356941
Fantasy	""	Warner Independent	7.1	35932	R	Thriller/Suspense	28500000	4-Mar-05	43	""	Original Screenplay	The Jacket	""	6301131	15452978
Historical Fiction	""	Sony Pictures	6.1	6636	PG-13	Drama	15000000	24-Sep-99	30	""	Based on Book/Short Story	Jakob the Liar	""	4956401	4956401
Dramatization	Sam Mendes	Universal	7.2	60650	R	Drama	72000000	4-Nov-05	61	115	Based on Book/Short Story	Jarhead	52209103	62647540	96947540
Contemporary Fiction	""	Sony Pictures	4.8	9329	R	Black Comedy	3000000	19-Feb-99	7	""	Original Screenplay	Jawbreaker	""	3076820	3076820
Contemporary Fiction	Michael Apted	MGM	6.3	59406	PG-13	Action	135000000	19-Nov-99	51	125	Based on Book/Short Story	The World is Not Enough	""	126930660	361730660
Contemporary Fiction	Lee Tamahori	MGM	6.0	67476	PG-13	Action	142000000	22-Nov-02	59	133	Based on Book/Short Story	Die Another Day	""	160942139	431942139
Contemporary Fiction	Martin Campbell	Sony Pictures	8.0	172936	PG-13	Action	102000000	17-Nov-06	94	144	Based on Book/Short Story	Casino Royale	79681613	167365000	596365000
Contemporary Fiction	Marc Forster	Sony Pictures	6.8	93596	PG-13	Action	230000000	14-Nov-08	64	""	Based on Book/Short Story	Quantum of Solace	44912115	169368427	576368427
Fantasy	""	20th Century Fox	5.3	24265	R	Thriller/Suspense	16000000	18-Sep-09	42	""	Original Screenplay	Jennifer's Body	4998385	16204793	32832166
Factual	""	Paramount Pictures	7.2	24434	R	Comedy	11000000	22-Sep-06	63	""	Based on TV	Jackass: Number Two	49050925	72778712	83578712
Contemporary Fiction	""	Paramount Pictures	6.3	27454	R	Comedy	5000000	25-Oct-02	""	92	Based on TV	Jackass: The Movie	""	64282312	75466905
Science Fiction	""	Warner Bros.	5.9	23756	PG	Adventure	45000000	11-Jul-08	""	92	Based on Book/Short Story	Journey to the Center of the Earth	26253886	101704370	240904370
Contemporary Fiction	Dennie Gordon	Sony Pictures	5.4	18666	PG-13	Comedy	16000000	11-Apr-01	11	91	Original Screenplay	Joe Dirt	""	27087695	30987695
